seat,ons_id,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,declaration_time,mp_firstname,mp_surname,mp_gender,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,con_share,lab_share,ld_share,brexit_share,green_share,snp_share,pc_share,dup_share,sf_share,sdlp_share,uup_share,alliance_share,other_share,swing_needed,new_con_share,new_lab_share,new_ld_share,new_brexit_share,new_green_share,new_snp_share,new_pc_share,new_dup_share,new_sf_share,new_sdlp_share,new_uup_share,new_alliance_share,new_other_share,new_first_party,changed,new_swing_needed
79,E14000591,E12000007,Brent Central,London,London,England,Borough,2019-12-13 03:37:00,Dawn,Butler,Female,Lab hold,LAB,Con,84032,49132,224,20870,10909,31779,4844,0,1600,0,0,0,0,0,0,0,0,0,0.22203451925425385,0.6468085972482293,0.09859154929577464,0.0,0.03256533420174224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4247740779939754,0.255627778607104,0.7111708944732162,0.0,0.0,0.03320132691967717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAB,FALSE,0.45554311586611224
80,E14000593,E12000007,Brentford and Isleworth,London,London,England,Borough,2019-12-13 04:22:00,Ruth,Cadbury,Female,Lab hold,LAB,Con,85775,58326,145,10514,18752,29266,7314,1165,1829,0,0,0,0,0,0,0,0,0,0.32150327469739054,0.5017659362891335,0.12539862154099374,0.019973939580975895,0.031358227891506364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18026266159174292,0.3679178105940994,0.5794064188316357,0.0,0.020496751075156222,0.03217901949910798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAB,FALSE,0.2114886082375363
81,E14000592,E12000007,Brent North,London,London,England,Borough,2019-12-13 03:36:00,Barry,Gardiner,Male,Lab hold,LAB,Con,83788,51879,199,8079,18832,26911,4065,951,850,0,0,0,0,0,0,0,270,0,0.3629985157770967,0.5187262668902639,0.07835540392066154,0.018331116636789452,0.016384278802598354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005204417972590065,0.15572775111316722,0.39219150196683944,0.5672553539426661,0.0,0.018621941105774538,0.016644216550902605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00528698643381611,LAB,FALSE,0.1750638519758267
82,E14000594,E12000006,Brentwood and Ongar,Essex,East,England,County,2019-12-13 03:11:00,Alex,Burghart,Male,Con hold,CON,Lab,75255,52949,238,29065,36308,7243,7187,0,1679,0,0,0,0,0,0,0,532,0,0.6857164441254793,0.1367920074033504,0.13573438591852538,0.0,0.031709758446807304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010047404105837692,0.5489244367221289,0.7459206574723404,0.21115428980697884,0.0,0.0,0.032596636597929815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010328416122750888,CON,FALSE,0.5347663676653616
83,W07000073,W92000004,Bridgend,Gwent and Mid Glamorgan,Wales,Wales,County,2019-12-13 03:07:00,Jamie,Wallis,Male,Con gain from Lab,CON,Lab,63303,42236,101,1157,18193,17036,2368,1811,815,0,2013,0,0,0,0,0,0,0,0.43074628279193106,0.403352590207406,0.056065915332891375,0.0428781134577138,0.01929633488019699,0.0,0.04766076332986078,0.0,0.0,0.0,0.0,0.0,0.0,0.027393692584525065,0.45215765243816886,0.4368008194191937,0.0,0.0433490423510057,0.019508265884080323,0.0,0.04818421990755056,0.0,0.0,0.0,0.0,0.0,0.0,CON,FALSE,0.015356833018975169
84,E14000595,E12000009,Bridgwater and West Somerset,Somerset,South West,England,County,2019-12-13 04:37:00,Ian,Liddell-Grainger,Male,Con hold,CON,Lab,85327,57652,279,24439,35827,11388,7805,0,1877,0,0,0,0,0,0,0,755,0,0.6214355096093804,0.19753000763199888,0.1353812530354541,0.0,0.03255741344619441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013095816276972178,0.4239055019773815,0.6792999247346913,0.2737894711962109,0.0,0.0,0.03345410480155244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013456499267539718,CON,FALSE,0.40551045353848036
85,E14000596,E12000003,Brigg and Goole,Humberside,Yorkshire and The Humber,England,County,2019-12-13 04:04:00,Andrew,Percy,Male,Con hold,CON,Lab,65939,43402,178,21941,30941,9000,2180,0,1281,0,0,0,0,0,0,0,0,0,0.7128934150499977,0.20736371595778996,0.050228100087553566,0.0,0.029514768904658772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5055296990922078,0.7347371269609381,0.23545892428643897,0.0,0.0,0.02980394875262313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CON,FALSE,0.49927820267449907
86,E14000597,E12000008,"Brighton, Kemptown",East Sussex,South East,England,Borough,2019-12-13 03:44:00,Lloyd,Russell-Moyle,Male,Lab hold,LAB,Con,69833,48533,140,8061,16972,25033,2964,1327,2237,0,0,0,0,0,0,0,0,0,0.34970020398491747,0.5157933777017699,0.06107184802093421,0.027342220757010694,0.046092349535367685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16609317371685245,0.37197053288610554,0.5537348914667105,0.0,0.02766243038266373,0.046632145264520676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAB,FALSE,0.18176435858060497
87,E14000598,E12000008,"Brighton, Pavilion",East Sussex,South East,England,Borough,2019-12-13 04:21:00,Caroline,Lucas,Female,Green hold,GREEN,Lab,79057,57998,158,19940,10176,13211,0,770,33151,0,0,0,0,0,0,0,690,0,0.17545432601124178,0.2277837166798855,0.0,0.013276319873099072,0.571588675471568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011896961964205663,0.3438049587916825,0.17545432601126415,0.22778371667986208,0.0,0.013276319873099289,0.5715886754715185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011896961964207899,GREEN,FALSE,0.3438049587916564
88,E14000599,E12000009,Bristol East,Avon,South West,England,Borough,2019-12-13 03:34:00,Kerry,McCarthy,Female,Lab hold,LAB,Con,73867,52154,157,10794,16923,27717,3527,1881,2106,0,0,0,0,0,0,0,0,0,0.3244813437128504,0.5314453349695134,0.06762664416919124,0.03606626529125283,0.04038041185719216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20696399125666298,0.3489276930091452,0.5736245917427144,0.0,0.036538538345060496,0.04090917690308207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAB,FALSE,0.22469689873356918
89,E14000600,E12000009,Bristol North West,Avon,South West,England,Borough,2019-12-13 03:24:00,Darren,Jones,Male,Lab hold,LAB,Con,76273,55885,169,5692,21638,27330,4940,0,1977,0,0,0,0,0,0,0,0,0,0.38718797530643284,0.4890399928424443,0.08839581282991858,0.0,0.03537621902120426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10185201753601147,0.4203136617905792,0.5436863648424419,0.0,0.0,0.03599997336697944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAB,FALSE,0.12337270305186271
